site_no, average, median, standard_deviation
5288500,-0.627334707,-0.227101533,0.937720008
5287890,0.335231265,0.500739709,0.483752099
5286000,0.328677885,0.386198771,0.373422941
5280000,-0.160755177,-0.073890715,0.632854977
5275000,0.17495003,0.43423015,0.799032667
5270700,-0.880904337,-0.570672653,1.043149848
5270500,-0.179079109,0.092403534,0.706157875
5267000,-0.651372164,-0.266441003,1.167872415
5247500,-0.284848253,0.081972311,1.306076363
5245100,-0.229003512,0.113721405,1.150811988
5244000,-1.582705738,-0.368201204,5.447367219
5243725,-26.25018737,-16.93799067,35.02671908
5242300,-0.570491054,-0.25861853,1.089582725
5227500,-0.352372852,-0.091573495,0.943241934
5212700,0.103869748,0.05340145,0.378462531
5211000,-7.169892902,-3.506170089,10.46132583
5207600,-24.78779125,-6.504151815,50.19914897
5200510,-2.398750846,-1.595443757,3.540070673
5134200,-0.305444836,0.007238803,1.146382702
5133500,-1.556753424,-0.40264931,2.719707187
5132000,0.273780994,0.313719364,0.28008851
5131500,-0.020598808,0.171584076,0.658512831
5129515,-51.74121932,-0.562276321,125.3066625
5129290,-0.703958544,-0.555575329,0.547500783
5129115,0.205494009,0.260675834,0.409733901
5127500,-13.73273766,-0.864336492,44.52472696
5126210,-1.237170409,0.312869656,4.641405448
5125039,0.180434974,0.180434974,0.131143732
5125000,-1.735078159,0.286549265,6.019207675
5124982,0.119572864,0.119572864,0.015880377
5124480,-31.18065835,-0.074592896,136.8523814
5124000,-1640.4915,-0.23624886,6994.340511
5123510,-38.81628503,-0.583453436,89.77445618
5122000,-0.770739305,-0.148886651,1.413196633
5120500,-2.26550452,-0.446016814,6.841515637
5120000,-1.9922425,-0.867553864,3.24162564
5117500,-17.51358178,-0.906246182,54.49347681
5116500,-110.1675244,-0.715531934,435.1095312
5116000,-628.6137429,-1.50074513,2546.761667
5114000,-5.25756673,-0.700174731,13.64355521
5113600,-16.72692615,-0.295281366,78.60999608
5112000,-0.561334737,0.337464003,2.153126178
5107500,0.007480298,0.353831734,1.014645455
5106000,-0.465581079,-0.363598617,0.394193176
5104500,-0.08012717,0.559589029,1.517530374
5100000,-0.813633801,-0.721432261,0.943587713
5099600,-0.615127948,-0.707911424,0.459460134
5099400,-0.136053405,-0.141912478,0.107222357
5094000,0.227717859,0.330928389,0.429052645
5092000,-0.483036801,-0.303040341,0.543203034
5090000,-2.469697145,0.082851249,12.48125278
5087500,0.119088918,0.159865193,0.213798949
5085450,-1.904579785,0.140107167,6.075480784
5085000,-0.459863722,-0.177441167,1.597611086
5084000,-0.716716038,-0.053647843,2.50268327
5082625,-2.924947635,-0.223012174,9.862838566
5082500,-0.529751978,-0.217838949,0.592258758
5080000,-0.573650155,-0.112564275,1.496198998
5079000,-0.536359535,-0.099905183,1.121461663
5078520,-0.013168976,0.164121162,0.580390848
5078500,0.183524154,0.431064471,0.70193514
5078470,-1.074528668,0.466128612,4.086603228
5078230,-0.1467081,0.113518883,0.954250329
5078000,-0.171231562,-0.094228411,0.798339896
5076000,-1.256601375,-0.083806808,3.748495331
5075000,-21.7053459,-24.67602749,15.48328441
5074500,-49.9914942,-14.32494201,66.79751353
5070000,-0.62746657,-0.207095287,1.04284051
5069000,-0.193717675,0.154114933,1.258394091
5067500,0.313464789,0.390915068,0.399379185
5066500,-0.05508682,-0.109539657,0.305756202
5064500,-0.638421835,-0.474962194,0.869129375
5064000,0.175332621,0.226449856,0.438343018
5063398,-6.59166158,0.224724395,19.06021567
5062500,-0.181083101,0.048038881,0.93556745
5062000,-0.145495293,0.017524704,0.748214973
5061500,-0.107899499,0.027181307,0.817260569
5061000,-0.886741905,-0.341967888,2.113887007
5060500,-0.12206867,-0.094190454,0.445856963
5060100,-0.111766899,-0.045166302,0.416239367
5059700,-0.030057989,0.023526632,0.491494961
5059500,-0.624840599,-0.301046486,1.182120721
5059480,-0.972917735,-0.684116069,0.818501137
5059300,-0.987329545,-0.297221214,2.199958874
5059000,-1.16009828,-0.211303505,2.75466624
5058700,-0.896449818,-0.364736451,2.20922767
5058000,-0.636294576,-0.415806136,1.195791814
5057200,-2.106173169,-0.232075296,7.587601533
5057000,-0.552400648,-0.308837195,1.402340475
5056000,-0.873889036,-0.359966525,1.559927968
5055300,-1.523748865,-0.201060094,1.949263867
5054500,-4.144919323,-0.903696752,9.053094032
5054000,-0.639063926,-0.198313879,1.21759334
5053000,-6.412501921,-0.39442122,13.88229929
5052000,-28.84993989,-0.742367601,61.91548929
5051522,-0.983047747,-0.562056531,1.358735476
5051300,-0.633698585,-0.18112465,1.869701988
5050000,-1.15000537,-0.677453026,1.45184067
5046475,-599290.338,-20.82032763,2075318.722
5046000,-4.262452738,-2.142979842,5.79992958
5030500,-1.991428387,-0.691712719,3.408413456
5017500,0.184074909,0.430900366,0.719063177
5014500,0.728981336,0.791188253,0.167214552
4296500,0.151310761,0.203549765,0.335137566
4296280,0.541231968,0.535754112,0.197931944
4296000,0.58410365,0.614622808,0.193791411
4294300,0.213134996,0.177426299,0.220873995
4294140,-0.088260409,0.119103371,0.492067384
4294000,0.038379871,0.037446774,0.19857678
4293500,0.048761684,-0.000202478,0.389422161
4293000,0.373326921,0.320854605,0.224772481
4292810,-0.136988105,0.016742521,0.342644193
4292795,-1.554852328,-0.884194677,1.662477984
4292750,0.079841006,0.056487002,0.115048908
4292500,0.291045006,0.354725565,0.321894598
4292000,0.410472946,0.458239534,0.234827792
4290500,-0.164897681,0.138747282,0.944496677
4289000,-0.303743665,0.099383091,1.213003006
4288230,0.084102226,0.224674693,0.455807728
4288225,0.474744235,0.498116292,0.216795143
4288000,0.320064506,0.40254375,0.482390221
4287000,0.469871564,0.48417592,0.27590163
4286000,0.513120687,0.453836509,0.226827336
4285500,0.365826206,0.426956535,0.324691921
4282795,0.168101859,0.274348944,0.416837528
4282780,0.246986375,0.526971807,0.678940072
4282650,0.39472098,0.451161849,0.362870837
4282525,0.411738664,0.544863273,0.422480772
4282500,0.242080702,0.33107268,0.48315856
4282000,0.142560565,0.158404708,0.3208918
