site_no, average, median, standard_deviation
3238772,0.555499088,0.725262259,0.304121309
3238745,0.527913832,0.62200665,0.308498558
3238495,0.171341233,0.163556468,0.228890435
3238140,0.142964075,0.096263336,0.277434821
3237500,0.249520671,0.27713849,0.293614415
3237280,-1.552967549,0.005423255,6.110895407
3237020,-1.149274458,-1.089006278,0.6662964
3234500,-1.090714071,-0.939029171,0.828510823
3234300,0.326779911,0.517629136,0.396348372
3234000,0.402397307,0.540157993,0.343354572
3232500,0.272529833,0.449552625,0.662834666
3232000,0.467940239,0.558379766,0.250136452
3231500,-0.65388392,-0.629191548,0.517003293
3230800,0.375517238,0.423920142,0.224419913
3230700,-0.391170524,-0.311301154,0.417440312
3230500,0.226503877,0.266918505,0.349728429
3230450,0.45494489,0.499910446,0.359635384
3230310,0.368460969,0.342794089,0.224687132
3229796,0.182697911,0.202160121,0.254006468
3229610,-0.113780969,-0.128131511,0.183692319
3229500,-0.288850992,-0.100877642,0.654952507
3228805,-274.1932923,-0.083742038,849.8526161
3228750,0.598353196,0.600218336,0.147267336
3228500,-18.09208516,-0.540826238,33.04060386
3228300,0.454014265,0.55429096,0.474411553
3227500,0.047340429,0.051161796,0.153587059
3227107,0.024261137,0.032120609,0.100705341
3226800,0.138127724,0.149111334,0.219707496
3225500,0.197908003,0.225738298,0.20983751
3223425,0.43768247,0.422870232,0.204517234
3221646,-0.091167275,-0.099761749,0.048138337
3221000,0.069166628,0.089161235,0.202064211
3220000,-0.253647769,-0.234014363,0.101374302
3219500,0.120136543,0.107800603,0.196956821
3217500,0.061602444,0.012782856,0.137365043
3217000,0.094770056,0.096887639,0.267526798
3216500,0.405340836,0.487466021,0.221429991
3215410,0.259167089,0.487148538,0.473013405
3214500,-0.033547287,0.076322216,0.442264394
3213700,-0.042859012,0.055408835,0.660231024
3213500,-0.07704759,0.072565014,0.623068967
3212980,-0.119562496,0.399134304,1.466215482
3212750,-1.458851609,-0.495698001,3.343322849
3212500,-0.053039322,0.001047681,0.353294461
3210000,0.446670297,0.529187012,0.393649314
3209500,0.265262128,0.277585746,0.259716448
3209000,0.074788513,0.069012905,0.188129623
3208950,0.397410451,0.49034895,0.343439396
3208500,0.35435594,0.422452884,0.310865906
3207965,-0.107449989,0.113147662,0.898311523
3207800,0.396568653,0.569593205,0.467907675
3206600,0.360898852,0.433499434,0.313818045
3205470,0.524889998,0.468408293,0.207275949
3203600,0.275194648,0.412147525,0.367173617
3203000,-0.120629707,-0.120629707,0.360923737
3202750,0.387213779,0.514186384,0.42519794
3202400,0.335061482,0.507231,0.510225791
3202000,0.435302452,0.514846237,0.385235669
3201980,0.468434817,0.518304216,0.341683231
3201902,0.434140829,0.534838037,0.389734742
3201405,0.509160453,0.549698849,0.26769115
3200500,0.263869795,0.310029151,0.303227716
3198500,0.451090429,0.55139159,0.310737152
3198350,-0.315150846,-0.103284487,0.804700493
3198000,-0.803065636,-0.682996565,0.625363532
3197000,0.066475802,0.048743508,0.230260681
3196800,0.254968658,0.270974618,0.03989753
3194700,0.410546637,0.489870195,0.290589916
3193000,-0.835027301,-0.665833491,0.575419225
3192000,-0.180064181,-0.152904305,0.229535511
3191500,-0.001040807,0.235763351,0.734947209
3190000,0.600318529,0.63814711,0.130185227
3189100,0.473473514,0.516878238,0.25363713
3188900,0.34808704,0.414516993,0.377992572
3187500,0.50491659,0.500350927,0.189841338
3186500,0.541760586,0.602036126,0.194779419
3185400,-0.780987345,-0.612265745,0.908627088
3185000,0.491552481,0.592178422,0.305429603
3184000,-0.100330622,0.055674617,0.361128667
3183500,0.048731301,0.138143339,0.379609184
3182500,0.474609065,0.554433799,0.505110781
3180500,0.363777058,0.509296556,0.484755088
3179000,0.538999954,0.607472174,0.254405883
3177710,0.373764124,0.423143911,0.298849456
3176500,-0.476684407,-0.41690524,0.569267951
3175500,0.420320861,0.544864541,0.394630979
3173000,0.385105371,0.532665572,0.431043494
3171000,-0.218130766,-0.08586595,0.575661743
3170000,0.058946692,0.24299984,0.702573921
3168000,-0.320039208,-0.173780541,0.51460001
3167000,-1.750711399,0.074619337,4.007387867
3165500,-0.16248445,-0.0385059,0.347207855
3165000,0.027546466,0.454244268,1.930945296
3164000,-0.015645844,0.005679592,0.375692874
3161000,0.150434896,0.179180262,0.581155412
3159540,-0.26472663,0.401800836,2.399701642
