site_no, average, median, standard_deviation
8151500,-66.32892667,-17.39314637,116.2655803
8150800,-23.08069059,-0.367292702,52.33652054
8150700,-132.7916793,-52.89941179,260.0814415
8150000,-131.6013864,-11.75374959,267.2439577
8149900,-56.40777613,-35.52543929,67.27155996
8147000,-6003.110384,-190.0750299,12523.37667
8146000,-187.3078573,-63.94606866,267.9790899
8144500,-46.77247175,-4.089115831,149.0122925
8143600,-1203.607278,-43.87895392,4123.178195
8142000,-5531.398159,-5531.398159,6532.424366
8136700,-351994.4049,-63872.07266,691589.2744
8128000,-152.4988103,-48.36196458,345.9368281
8126380,-2503739.802,-1116.280545,7822469.571
8123850,-3764.055508,-73.3140046,9939.40173
8123800,-29371.49863,-683.3366026,71327.69944
8121000,-10512.43156,-222.6467521,40492.04913
8120500,-227.3975547,-35.41661107,550.4856481
8119500,-30.88015136,-20.57170262,40.42966462
8117500,-0.467711017,-0.035450794,1.429035488
8116650,-19.69908869,-1.60004654,75.33265544
8116400,-1.612954476,-1.375342122,1.611182566
8115000,-2.132807891,0.296933199,6.539041333
8114000,-13.98092673,-1.816429828,47.85653825
8111850,-1.28134824,-1.02541054,0.907210177
8111700,-80.39249082,-0.434309527,257.7399635
8111500,-4.041930403,-1.231599476,5.295406688
8111054,-0.548311906,-0.133960171,0.945302915
8111052,-0.38073858,-0.216383776,0.442081695
8110800,-33.78127086,-2.012694344,76.36071721
8110500,-74.81248684,-7.205890994,141.9792728
8110000,-9318.93105,-8.408417808,27524.75011
8109800,-72.87229672,-4.332404754,185.7779848
8108700,-55.49310838,-1.747278849,177.42787
8107950,-0.045135983,-0.039048151,0.119839813
8106500,-22.27078957,-0.195019583,62.3607038
8106350,-70.56143938,-16.79456562,145.9720161
8105888,-2.959644454,-3.073779296,2.936759316
8105886,-20.44020769,-17.44031441,19.49996462
8105883,-2.077487194,-1.065655007,2.743450259
8105872,-0.804100038,-0.670041367,0.948396404
8105700,-1166.255707,-0.348279413,3510.691422
8104900,-183.1154965,-4.863811887,686.7648531
8104700,-11460.71917,-171.4270334,48759.97534
8104500,-37.29966311,-2.771908674,80.02287111
8104300,-236.9826506,-143.2833038,297.6111469
8104100,-4279.000991,-25.83431146,8688.853479
8103940,-83.02189647,-83.02189647,108.9294703
8103800,-116.2323884,-5.525546359,227.8282482
8102500,-536.0744653,-7.913559698,1515.041447
8100500,-6168.430344,-2.648688383,20757.2825
8100000,-297841.2469,-858.2545811,1026386.542
8099500,-1059.901861,-227.1924241,2000.054927
8099382,-12.04272593,-12.04272593,15.40157848
8098290,-47.12480849,-2.440936656,137.8642663
8096500,-61.46403365,-3.38556172,213.9988727
8095400,-84616.74071,-6.927936371,239277.2301
8095300,-67.49890733,0.218816123,148.619873
8095200,-196.7026503,-0.891146521,389.4002677
8095000,-1433.772265,-2.13841586,5017.401732
8094800,-25.56263002,-17.34014102,34.51098626
8093360,-4924.9535,-1903.377437,8048.517474
8093100,-12556.44525,-5.87454514,60098.67899
8092000,-25.55511483,-5.724791679,39.66443657
8091500,-60302.42833,-397.8490615,230220.0357
8091000,-5717.83134,-16.7648086,13325.09435
8090905,-123568.2054,-16203.00124,251551.7126
8090800,-142.599506,-22.22643349,365.1003502
8089000,-2304.651808,-8.712127655,10555.27795
8088610,-15385.86043,-11.56674545,71907.53466
8088000,-193.4813779,-9.272518697,444.5749671
8085500,-186969.5737,-18.55650067,886337.7681
8084800,-2573.7707,-0.301585592,9646.076649
8084200,-877.7023201,-48.86828991,1493.901801
8083480,-42.00280805,-3.403598388,96.2746807
8083420,-183.4433417,-0.144373506,731.7141705
8082500,-47.34384622,-11.75832685,69.0541142
8082000,-565.777803,-44.84089291,1481.555035
8080505,-140.6655371,-151.2458961,113.5061505
8080500,-55.35422263,-5.862848116,111.1139012
8079600,-4.141861251,-0.00403173,15.90356276
8078000,-32.27627369,0.008697142,150.0489493
8077600,-165.3003041,-40.0205894,289.9107868
8076997,-1.271796664,0.258315113,5.069608385
8076500,-3.126830046,-0.620803447,5.117483761
