site_no, average,dec_lat_va,dec_long_va,NSE_state
1175670,-0.122606106,42.26481407,-72.0042418,4
1172500,-0.103617298,42.42509025,-72.0245212,4
1135300,-0.33178426,44.4353353,-72.03842899,4
1135500,0.378822338,44.3656147,-72.0392613,4
1163200,0.528305479,42.58842124,-72.04091198,3
1138500,-0.262486085,44.15339689,-72.0417577,4
11230695,-2632.065671,41.57000278,-72.0462444,4
1123000,0.241888433,41.6717651,-72.05229807,4
1123600,-0.349432905,42.08261944,-72.0583806,4
1173000,-0.297956577,42.39120167,-72.0650774,4
1139000,0.27378264,44.1503413,-72.0650915,4
1162000,0.518056038,42.6842527,-72.08341388,3
1120790,0.399240516,41.81616944,-72.1061694,4
1162500,0.599599608,42.6825859,-72.1150812,3
1127500,0.146899581,41.5587094,-72.1214666,4
1135150,-2.617994277,44.47616707,-72.1245431,4
1123360,-0.368748515,42.108375,-72.1261306,4
1121000,0.34980809,41.8437089,-72.1689662,4
1122500,0.167266479,41.70037644,-72.1820223,4
4296500,0.257420391,44.94032449,-72.1892684,4
1122000,0.097462306,41.7201,-72.195575,4
4296280,0.589301507,44.87138889,-72.2005556,3
11277905,-215.7451036,41.3686111,-72.2022222,4
1174500,-0.031364071,42.3934237,-72.2384148,4
1121330,-4.66673999,41.83319444,-72.2427806,4
1176000,-1.54405207,42.18231566,-72.263691,4
1119500,-0.419008333,41.7506544,-72.26563469,4
1157000,0.311289346,43.03924586,-72.2700858,4
4296000,0.426128488,44.8689363,-72.2701041,4
1173500,0.203330701,42.2362038,-72.27258047,4
1158110,0.548642571,42.9192478,-72.279252,3
1158000,0.397678102,42.9948023,-72.31119719,4
1144500,-0.799894305,43.64618187,-72.3123134,4
1119382,-1.000077097,41.8240111,-72.3128472,4
1160350,0.621610266,42.87147076,-72.3281415,3
1175500,-4331.808313,42.2678699,-72.3325824,4
1194000,0.192441148,41.44166944,-72.33267778,4
1194500,-0.107190985,41.42751667,-72.33477778,4
1139800,-0.606733196,44.0928419,-72.33565327,4
1151500,-0.046343791,43.60257077,-72.35425819,4
1154950,0.425449597,43.14944444,-72.3616667,4
1152500,0.441568359,43.38757327,-72.36203409,4
1174565,0.362262785,42.45508906,-72.3817516,4
4293000,0.202090174,44.97282337,-72.38538628,4
1144000,0.3626678,43.71423614,-72.418149,4
1154500,-0.947644911,43.12618905,-72.4367549,4
1166500,0.584744942,42.5975862,-72.43786449,3
1193500,0.374544174,41.55232124,-72.44925287,4
